layer,n,n_units,raw_image_rmse,raw_unit_rmse,ref_norm_image_rmse,ref_norm_unit_rmse,tgt_norm_image_rmse,tgt_norm_unit_rmse,image_corr_mean,image_corr_min
fc8,50,1000,0.4155808687210083,0.43651145696640015,0.15037770569324493,0.15757635235786438,0.1617000699043274,0.16916745901107788,0.9917378425598145,0.9576912522315979
fc7,50,4096,0.7364962100982666,0.7875292897224426,0.1986715942621231,0.21153680980205536,0.22132356464862823,0.23543229699134827,0.9861670732498169,0.9396941065788269
fc6,50,4096,2.8432509899139404,2.9771511554718018,0.1981533169746399,0.20731091499328613,0.22282499074935913,0.23288729786872864,0.9868832230567932,0.9487128853797913
conv5_4,50,100352,8.59207820892334,8.493861198425293,0.2255145013332367,0.2295684665441513,0.24764515459537506,0.25158873200416565,0.9826287627220154,0.929610550403595
conv5_3,50,100352,17.445404052734375,17.44492530822754,0.20782165229320526,0.21196290850639343,0.22909697890281677,0.23315007984638214,0.9853114485740662,0.9510135054588318
conv5_2,50,100352,34.76784133911133,34.6328010559082,0.2032734453678131,0.20602738857269287,0.22288328409194946,0.2253059297800064,0.9856239557266235,0.951657235622406
conv5_1,50,100352,67.7754135131836,67.21730041503906,0.19969812035560608,0.20080551505088806,0.21847134828567505,0.21877439320087433,0.984921395778656,0.9535613059997559
conv4_4,50,401408,131.2884521484375,131.1981201171875,0.22321800887584686,0.22475959360599518,0.24188965559005737,0.2426004409790039,0.9800354242324829,0.9433887004852295
conv4_3,50,401408,217.22486877441406,215.96885681152344,0.20879636704921722,0.20930366218090057,0.2254825085401535,0.22507421672344208,0.9826884269714355,0.9526327252388
conv4_2,50,401408,293.8286437988281,284.1452941894531,0.2168787121772766,0.21315662562847137,0.23521418869495392,0.22924143075942993,0.9829975962638855,0.9518463611602783
conv4_1,50,401408,269.2608947753906,261.32568359375,0.20637083053588867,0.20016971230506897,0.22098764777183533,0.21276815235614777,0.9850491285324097,0.9555556178092957
conv3_4,50,802816,232.0408935546875,220.0170440673828,0.24910274147987366,0.24261268973350525,0.2662292420864105,0.25662103295326233,0.9736324548721313,0.9377780556678772
conv3_3,50,802816,117.90792083740234,114.78256225585938,0.25414761900901794,0.2525710463523865,0.27191439270973206,0.26775017380714417,0.9738588929176331,0.9417102336883545
conv3_2,50,802816,101.01995086669922,99.52758026123047,0.2547456920146942,0.2520100474357605,0.2693759799003601,0.264722615480423,0.9746580719947815,0.944557785987854
conv3_1,50,802816,125.44956970214844,119.58021545410156,0.27749255299568176,0.2711890935897827,0.30146580934524536,0.28914111852645874,0.968982458114624,0.9322356581687927
conv2_2,50,1605632,162.8736572265625,153.55010986328125,0.40253037214279175,0.38284215331077576,0.43513914942741394,0.40813779830932617,0.9338822364807129,0.8906757831573486
conv2_1,50,1605632,118.97857666015625,111.10315704345703,0.37044209241867065,0.3599122166633606,0.40782085061073303,0.3891116678714752,0.9432626366615295,0.9049272537231445
conv1_2,50,3211264,84.25829315185547,74.85105895996094,0.524463415145874,0.4657811224460602,0.6070201992988586,0.5179712772369385,0.9138823747634888,0.8187510371208191
conv1_1,50,3211264,27.64242172241211,24.143571853637695,0.492390900850296,0.4435535669326782,0.54296875,0.481833815574646,0.913499116897583,0.7870665192604065
