layer,n,n_units,raw_image_rmse,raw_unit_rmse,ref_norm_image_rmse,ref_norm_unit_rmse,tgt_norm_image_rmse,tgt_norm_unit_rmse,image_corr_mean,image_corr_min
fc8,50,1000,0.4162055253982544,0.4370846450328827,0.15057407319545746,0.15777002274990082,0.16202110052108765,0.1694881021976471,0.9917495250701904,0.9576743245124817
fc7,50,4096,0.7381499409675598,0.7891397476196289,0.1991097331047058,0.21196401119232178,0.2219747006893158,0.2360813319683075,0.9861829280853271,0.9398323893547058
fc6,50,4096,2.850796699523926,2.9844706058502197,0.19865378737449646,0.20780690014362335,0.22355251014232635,0.2336159199476242,0.9868959188461304,0.9485086798667908
conv5_4,50,100352,8.621684074401855,8.522415161132812,0.22631415724754333,0.2303522825241089,0.24873241782188416,0.25266033411026,0.9826382398605347,0.9295677542686462
conv5_3,50,100352,17.49469566345215,17.491453170776367,0.20838969945907593,0.2125205248594284,0.22992712259292603,0.23396995663642883,0.985323429107666,0.9509704113006592
conv5_2,50,100352,34.85810470581055,34.71640396118164,0.20376178622245789,0.20650601387023926,0.2236260622739792,0.22603631019592285,0.9856354594230652,0.9516623020172119
conv5_1,50,100352,67.93817901611328,67.36483764648438,0.20011627674102783,0.20121729373931885,0.21915265917778015,0.21944153308868408,0.9849321842193604,0.9536282420158386
conv4_4,50,401408,131.5866241455078,131.477783203125,0.2236941009759903,0.22522303462028503,0.24263669550418854,0.24332961440086365,0.9800464510917664,0.9434266686439514
conv4_3,50,401408,217.55601501464844,216.2669677734375,0.20906248688697815,0.20956622064113617,0.22599302232265472,0.22557315230369568,0.9826995134353638,0.9526857733726501
conv4_2,50,401408,294.2347412109375,284.5021057128906,0.21712860465049744,0.21340037882328033,0.23571370542049408,0.22972111403942108,0.9830080270767212,0.9518925547599792
conv4_1,50,401408,269.4717712402344,261.52203369140625,0.20650604367256165,0.20030568540096283,0.2213297337293625,0.21309657394886017,0.9850660562515259,0.9556227326393127
conv3_4,50,802816,232.08592224121094,220.06732177734375,0.2491420954465866,0.24266499280929565,0.26652294397354126,0.25690770149230957,0.9736533164978027,0.9378328919410706
conv3_3,50,802816,117.95419311523438,114.8166732788086,0.2542171776294708,0.2526310980319977,0.2722089886665344,0.2680203914642334,0.9738761186599731,0.9417475461959839
conv3_2,50,802816,101.03152465820312,99.5393295288086,0.25476616621017456,0.2520352602005005,0.2696012258529663,0.26494163274765015,0.974668562412262,0.944579005241394
conv3_1,50,802816,125.46405029296875,119.5864028930664,0.2774754762649536,0.27118241786956787,0.301642507314682,0.28931689262390137,0.968996524810791,0.9322291016578674
conv2_2,50,1605632,162.84664916992188,153.52169799804688,0.40242403745651245,0.3827431797981262,0.4353131353855133,0.40828874707221985,0.9338958263397217,0.8906838893890381
conv2_1,50,1605632,118.96839904785156,111.09091186523438,0.3704131245613098,0.3598725199699402,0.40791305899620056,0.38917455077171326,0.9432731866836548,0.9049794673919678
conv1_2,50,3211264,84.24565124511719,74.82828521728516,0.5243877172470093,0.46565860509872437,0.6071396470069885,0.518002986907959,0.9138869643211365,0.8187358975410461
conv1_1,50,3211264,27.642784118652344,24.142873764038086,0.4923797845840454,0.4435218572616577,0.5429578423500061,0.4818003475666046,0.9134987592697144,0.7870567440986633
