layer,n,n_units,raw_image_rmse,raw_unit_rmse,ref_norm_image_rmse,ref_norm_unit_rmse,tgt_norm_image_rmse,tgt_norm_unit_rmse,image_corr_mean,image_corr_min
fc8,50,1000,0.00543194217607379,0.005814043805003166,0.002128667663782835,0.002263306174427271,0.0021301612723618746,0.002264841925352812,0.9999979138374329,0.999988317489624
fc7,50,4096,0.008084973320364952,0.008613978512585163,0.0024314061738550663,0.0025767693296074867,0.002433270215988159,0.002578717190772295,0.9999969005584717,0.9999861121177673
fc6,50,4096,0.030325282365083694,0.03140079975128174,0.0024017158430069685,0.0024722220841795206,0.0024035456590354443,0.0024740740191191435,0.9999970197677612,0.9999867677688599
conv5_4,50,100352,0.11029201745986938,0.1118498370051384,0.003394658910110593,0.003428560681641102,0.0033976768609136343,0.0034315420780330896,0.9999961256980896,0.9999836087226868
conv5_3,50,100352,0.21589335799217224,0.21702325344085693,0.0029673047829419374,0.0029678724240511656,0.00297003542073071,0.0029705448541790247,0.9999967217445374,0.9999849200248718
conv5_2,50,100352,0.4451701045036316,0.4439765512943268,0.002960673300549388,0.0029439826030284166,0.0029634726233780384,0.002946707420051098,0.9999967813491821,0.999986469745636
conv5_1,50,100352,0.8825995922088623,0.8771829605102539,0.0029267421923577785,0.002895753365010023,0.0029297235887497663,0.002898638369515538,0.9999969601631165,0.9999891519546509
conv4_4,50,401408,1.7686201333999634,1.751656413078308,0.0033267871476709843,0.0032738177105784416,0.0033300169743597507,0.003276924369856715,0.9999960064888,0.999987781047821
conv4_3,50,401408,2.812626361846924,2.748791456222534,0.0030157919973134995,0.002909999340772629,0.0030188497621566057,0.002912825671955943,0.9999967813491821,0.9999894499778748
conv4_2,50,401408,3.931307077407837,3.6504640579223633,0.0031793052330613136,0.0029556206427514553,0.00318270199932158,0.00295851519331336,0.9999964237213135,0.9999867677688599
conv4_1,50,401408,3.787550926208496,3.363051414489746,0.0030578116420656443,0.0027258126065135,0.0030607497319579124,0.002728209597989917,0.9999964833259583,0.9999873638153076
conv3_4,50,802816,2.819990873336792,2.3891541957855225,0.0032238983549177647,0.002804610412567854,0.0032271326053887606,0.0028071494307368994,0.9999955892562866,0.999985933303833
conv3_3,50,802816,1.3864413499832153,1.2228636741638184,0.003191764699295163,0.0028671440668404102,0.003194577759131789,0.0028693536296486855,0.9999960064888,0.9999889135360718
conv3_2,50,802816,0.9990670084953308,0.911433219909668,0.0027497897390276194,0.002463224809616804,0.002751689637079835,0.0024649593979120255,0.9999973177909851,0.9999922513961792
conv3_1,50,802816,1.0036312341690063,0.9045448303222656,0.002653829986229539,0.002283580368384719,0.002655932679772377,0.002285117981955409,0.9999978542327881,0.9999953508377075
conv2_2,50,1605632,1.016321063041687,0.8774170279502869,0.0034812623634934425,0.002619285136461258,0.0034858298022300005,0.002621592255309224,0.999997079372406,0.9999932050704956
conv2_1,50,1605632,0.9289394617080688,0.7289586067199707,0.00357277924194932,0.002786041470244527,0.003574883099645376,0.002787090605124831,0.9999957084655762,0.9999907612800598
conv1_2,50,3211264,0.9001497030258179,0.5474587082862854,0.004501402843743563,0.0030396301299333572,0.004507324192672968,0.003041730960831046,0.9999896287918091,0.999968409538269
conv1_1,50,3211264,0.27813518047332764,0.1917523294687271,0.004546059295535088,0.0033146243076771498,0.004546059761196375,0.0033146243076771498,0.999991238117218,0.9999762177467346
