layer,n,n_units,raw_image_rmse,raw_unit_rmse,ref_norm_image_rmse,ref_norm_unit_rmse,tgt_norm_image_rmse,tgt_norm_unit_rmse,image_corr_mean,image_corr_min
fc8,1200,1000,0.3259158432483673,0.34819239377975464,0.1188134104013443,0.12693408131599426,0.12609843909740448,0.13468095660209656,0.9945003986358643,0.9130732417106628
fc7,1200,4096,0.6191883087158203,0.6737727522850037,0.15928663313388824,0.17307361960411072,0.17421048879623413,0.1892707198858261,0.9903557300567627,0.8530876636505127
fc6,1200,4096,2.5289626121520996,2.715442419052124,0.17178203165531158,0.18501296639442444,0.19076339900493622,0.20539972186088562,0.9905319213867188,0.8311000466346741
conv5_4,1200,100352,7.764917850494385,7.973200798034668,0.18857017159461975,0.19886896014213562,0.2044968158006668,0.21557140350341797,0.9870758056640625,0.9207355380058289
conv5_3,1200,100352,15.852714538574219,16.37898826599121,0.1763617992401123,0.18590962886810303,0.19186189770698547,0.2021542340517044,0.9885326027870178,0.9286161065101624
conv5_2,1200,100352,32.00417709350586,33.00836944580078,0.17745307087898254,0.18640558421611786,0.19285015761852264,0.20244599878787994,0.9887414574623108,0.9376482963562012
conv5_1,1200,100352,63.0843505859375,65.00504302978516,0.1757219433784485,0.18372800946235657,0.19075042009353638,0.19903838634490967,0.9878768920898438,0.9305474758148193
conv4_4,1200,401408,120.83815002441406,124.29668426513672,0.19508479535579681,0.20298877358436584,0.20978029072284698,0.21775053441524506,0.9834649562835693,0.9278179407119751
conv4_3,1200,401408,198.99049377441406,204.53025817871094,0.18199540674686432,0.18922509253025055,0.1945667415857315,0.20188987255096436,0.9856982231140137,0.931998610496521
conv4_2,1200,401408,265.70062255859375,265.577392578125,0.18753160536289215,0.1911989003419876,0.2012472301721573,0.2038886994123459,0.9860377907752991,0.93560791015625
conv4_1,1200,401408,246.20260620117188,247.95147705078125,0.17899875342845917,0.18077673017978668,0.19012445211410522,0.19097217917442322,0.9876708984375,0.9387604594230652
conv3_4,1200,802816,213.5027313232422,209.582763671875,0.21603922545909882,0.21820558607578278,0.22810745239257812,0.22897866368293762,0.9777514934539795,0.9108943343162537
conv3_3,1200,802816,108.68146514892578,109.26239013671875,0.2200211137533188,0.22668226063251495,0.23244105279445648,0.23817043006420135,0.9779549241065979,0.9136941432952881
conv3_2,1200,802816,95.43659210205078,96.92279815673828,0.22171024978160858,0.22773100435733795,0.23252828419208527,0.23799602687358856,0.9780460596084595,0.9168216586112976
conv3_1,1200,802816,118.40239715576172,116.72135925292969,0.2442137598991394,0.24710263311862946,0.2618326246738434,0.2614518105983734,0.9727348685264587,0.9049175381660461
conv2_2,1200,1605632,158.86264038085938,154.5348358154297,0.36409372091293335,0.35792261362075806,0.38789355754852295,0.3779056668281555,0.9383478760719299,0.8422343134880066
conv2_1,1200,1605632,117.00184631347656,113.17181396484375,0.3318457305431366,0.33662503957748413,0.3568793833255768,0.35857248306274414,0.9461528658866882,0.85841304063797
conv1_2,1200,3211264,82.55364990234375,76.86506652832031,0.4687880575656891,0.43931135535240173,0.5251519680023193,0.4794648289680481,0.916860044002533,0.7458479404449463
conv1_1,1200,3211264,26.70842742919922,24.326112747192383,0.441031277179718,0.41848352551460266,0.47494152188301086,0.4471539855003357,0.9156097173690796,0.7016192674636841
