layer,n,n_units,raw_image_rmse,raw_unit_rmse,ref_norm_image_rmse,ref_norm_unit_rmse,tgt_norm_image_rmse,tgt_norm_unit_rmse,image_corr_mean,image_corr_min
fc8,1200,1000,0.32651397585868835,0.34876343607902527,0.11901869624853134,0.1271342933177948,0.12639549374580383,0.1349775344133377,0.9945101141929626,0.9132277965545654
fc7,1200,4096,0.6212033033370972,0.6759093999862671,0.15980008244514465,0.1736196130514145,0.17491422593593597,0.19002217054367065,0.9903715252876282,0.8533591032028198
fc6,1200,4096,2.5370945930480957,2.7233757972717285,0.17231951653957367,0.18554586172103882,0.19152219593524933,0.2061653882265091,0.9905463457107544,0.8313971757888794
conv5_4,1200,100352,7.7967209815979,8.003357887268066,0.18932382762432098,0.1996103972196579,0.20548707246780396,0.2165566086769104,0.9870904684066772,0.9207776188850403
conv5_3,1200,100352,15.905683517456055,16.428918838500977,0.17692974209785461,0.18646366894245148,0.1926555186510086,0.20294101536273956,0.9885450005531311,0.9286863207817078
conv5_2,1200,100352,32.10221481323242,33.09972381591797,0.1779666543006897,0.18690603971481323,0.19358980655670166,0.20317892730236053,0.9887521266937256,0.9376091957092285
conv5_1,1200,100352,63.25533676147461,65.16278076171875,0.17615588009357452,0.18415293097496033,0.19141414761543274,0.19969739019870758,0.9878869652748108,0.9306390881538391
conv4_4,1200,401408,121.1523208618164,124.59815216064453,0.19557762145996094,0.20347338914871216,0.21051479876041412,0.2184816300868988,0.9834757447242737,0.9279579520225525
conv4_3,1200,401408,199.31982421875,204.83392333984375,0.18226903676986694,0.1894913762807846,0.1950487345457077,0.2023681104183197,0.9857085943222046,0.9321227073669434
conv4_2,1200,401408,266.1153259277344,265.95343017578125,0.18779915571212769,0.19145804643630981,0.2017281949520111,0.20435962080955505,0.9860459566116333,0.9357053637504578
conv4_1,1200,401408,246.4386444091797,248.1776885986328,0.17916901409626007,0.18094047904014587,0.19047196209430695,0.1913093626499176,0.9876832365989685,0.9388408064842224
conv3_4,1200,802816,213.55152893066406,209.64561462402344,0.21610209345817566,0.21827811002731323,0.22838622331619263,0.2292628139257431,0.9777677655220032,0.9109641909599304
conv3_3,1200,802816,108.7333984375,109.30598449707031,0.22011761367321014,0.22676779329776764,0.2327307164669037,0.2384469211101532,0.9779682159423828,0.9137386679649353
conv3_2,1200,802816,95.45647430419922,96.94341278076172,0.22176417708396912,0.22778339684009552,0.23275429010391235,0.23822185397148132,0.9780529737472534,0.9168774485588074
conv3_1,1200,802816,118.41787719726562,116.7297134399414,0.2442181408405304,0.24711011350154877,0.26199933886528015,0.26162177324295044,0.9727458953857422,0.9049800038337708
conv2_2,1200,1605632,158.8330535888672,154.50454711914062,0.36401402950286865,0.3578416407108307,0.3880501687526703,0.37804684042930603,0.9383592009544373,0.842297375202179
conv2_1,1200,1605632,116.99052429199219,113.15840911865234,0.33182474970817566,0.3365909159183502,0.3569466769695282,0.35862118005752563,0.9461622834205627,0.858489990234375
conv1_2,1200,3211264,82.541259765625,76.84485626220703,0.4687288999557495,0.4392074644565582,0.525225043296814,0.4794750213623047,0.9168564677238464,0.745843768119812
conv1_1,1200,3211264,26.70881462097168,24.325698852539062,0.4410211145877838,0.41845932602882385,0.47493159770965576,0.44713011384010315,0.9156017303466797,0.7016182541847229
