layer,n,n_units,raw_image_rmse,raw_unit_rmse,ref_norm_image_rmse,ref_norm_unit_rmse,tgt_norm_image_rmse,tgt_norm_unit_rmse,image_corr_mean,image_corr_min
fc8,1200,1000,0.004930449184030294,0.0052370899356901646,0.0019106145482510328,0.0020300254691392183,0.001911824569106102,0.0020312995184212923,0.9999984502792358,0.9999694228172302
fc7,1200,4096,0.008051645942032337,0.008619235828518867,0.002261717338114977,0.0024196996819227934,0.0022635578643530607,0.002421667566522956,0.9999974370002747,0.9999769926071167
fc6,1200,4096,0.030291350558400154,0.03182303160429001,0.0022988112177699804,0.0024144963826984167,0.0023007653653621674,0.0024165427312254906,0.9999975562095642,0.9999814629554749
conv5_4,1200,100352,0.11104342341423035,0.11304926127195358,0.0030737484339624643,0.0031308578327298164,0.00307632889598608,0.0031334818340837955,0.9999967217445374,0.9999831914901733
conv5_3,1200,100352,0.21861836314201355,0.22133241593837738,0.002756143920123577,0.0027855737134814262,0.0027586398646235466,0.0027880959678441286,0.9999971389770508,0.9999853372573853
conv5_2,1200,100352,0.4431924521923065,0.4453797936439514,0.00275822845287621,0.002777007408440113,0.00276081170886755,0.0027795974165201187,0.9999973773956299,0.9999879598617554
conv5_1,1200,100352,0.879311740398407,0.8844940066337585,0.002720637246966362,0.0027402881532907486,0.002723344601690769,0.0027430010959506035,0.9999973773956299,0.9999880790710449
conv4_4,1200,401408,1.7693990468978882,1.7610750198364258,0.00312633509747684,0.0031143222004175186,0.003129387740045786,0.003117343643680215,0.9999963641166687,0.9999834895133972
conv4_3,1200,401408,2.794354200363159,2.741943597793579,0.002808995544910431,0.0027437100652605295,0.0028117354959249496,0.002746351296082139,0.9999969601631165,0.9999864101409912
conv4_2,1200,401408,3.8544604778289795,3.6088976860046387,0.0029454506002366543,0.0027818840462714434,0.0029484021943062544,0.002784572308883071,0.9999967217445374,0.9999845027923584
conv4_1,1200,401408,3.725127696990967,3.3463921546936035,0.0028209558222442865,0.0025678377132862806,0.0028233593329787254,0.0025700083933770657,0.9999968409538269,0.9999825358390808
conv3_4,1200,802816,2.7882308959960938,2.399859666824341,0.0029239861760288477,0.0026337155140936375,0.00292652053758502,0.0026360147166997194,0.9999959468841553,0.999982476234436
conv3_3,1200,802816,1.3805506229400635,1.229703426361084,0.0029259102884680033,0.0026927869766950607,0.0029281789902597666,0.002694834489375353,0.9999963641166687,0.9999844431877136
conv3_2,1200,802816,1.0019526481628418,0.921781063079834,0.0024927782360464334,0.0022937078028917313,0.0024944462347775698,0.0022952966392040253,0.9999974370002747,0.9999858736991882
conv3_1,1200,802816,1.008172869682312,0.920927107334137,0.0023618475534021854,0.0021237737964838743,0.002363362116739154,0.002125096507370472,0.9999978542327881,0.9999904036521912
conv2_2,1200,1605632,1.0206913948059082,0.8968365788459778,0.0030540702864527702,0.0023974759969860315,0.0030568134970963,0.0023991672787815332,0.9999972581863403,0.9999883770942688
conv2_1,1200,1605632,0.9382492899894714,0.7389951348304749,0.0032310872338712215,0.0025476610753685236,0.003232378978282213,0.002548391232267022,0.9999957084655762,0.9999693036079407
conv1_2,1200,3211264,0.9111322164535522,0.5518435835838318,0.004106102976948023,0.0027901101857423782,0.004109267611056566,0.0027912845835089684,0.9999896287918091,0.9999388456344604
conv1_1,1200,3211264,0.27813515067100525,0.19175229966640472,0.004250469617545605,0.0031177315395325422,0.004250469617545605,0.0031177315395325422,0.9999908208847046,0.9999419450759888
